"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-25 ~ 2026-05-24"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"43","서울특별시 양천구 목동","908-28","0908","0028","부영2","123.0800","202605","21","187,000","-","24","개인","개인","2000","목동동로 401","-","중개거래","서울 양천구","-"
"44","서울특별시 마포구 상암동","1658","1658","0000","상암월드컵파크5단지","104.6900","202605","21","113,100","-","9","개인","개인","2005","상암산로1길 52","-","중개거래","서울 마포구","-"
"45","서울특별시 양천구 목동","951","0951","0000","금호어울림","84.9900","202605","21","144,000","-","9","개인","개인","2004","목동중앙서로 37","-","중개거래","서울 양천구","-"
"46","서울특별시 서초구 서초동","1316-15","1316","0015","현대성우주상복합아파트","150.9500","202605","21","191,000","-","22","개인","개인","2002","강남대로61길 23","-","중개거래","서울 서초구","-"
"47","서울특별시 서초구 서초동","1450-1","1450","0001","월드메르디앙(오페라)","195.4890","202605","21","200,000","-","5","개인","개인","2004","반포대로4길 24","-","중개거래","서울 서초구","-"
"48","서울특별시 강남구 청담동","69-18","0069","0018","동양파라곤","224.3836","202605","21","770,000","-","12","개인","개인","2006","학동로97길 31","-","직거래","-","-"
"49","서울특별시 구로구 개봉동","179-11","0179","0011","에드가개봉","16.4845","202605","21","23,300","-","9","법인","법인","2025","경인로42길 34","-","직거래","-","-"
"50","서울특별시 구로구 개봉동","179-11","0179","0011","에드가개봉","18.1405","202605","21","26,100","-","20","법인","법인","2025","경인로42길 34","-","직거래","-","-"
"51","서울특별시 구로구 개봉동","179-11","0179","0011","에드가개봉","16.4845","202605","21","23,800","-","20","법인","법인","2025","경인로42길 34","-","직거래","-","-"
"52","서울특별시 구로구 개봉동","179-11","0179","0011","에드가개봉","54.9266","202605","21","70,800","-","20","법인","법인","2025","경인로42길 34","-","직거래","-","-"
"53","서울특별시 구로구 개봉동","179-11","0179","0011","에드가개봉","35.3671","202605","21","48,300","-","20","법인","법인","2025","경인로42길 34","-","직거래","-","-"
"54","서울특별시 구로구 개봉동","179-11","0179","0011","에드가개봉","53.9516","202605","21","69,600","-","20","법인","법인","2025","경인로42길 34","-","직거래","-","-"
"55","서울특별시 구로구 개봉동","179-11","0179","0011","에드가개봉","18.1405","202605","21","26,100","-","19","법인","법인","2025","경인로42길 34","-","직거래","-","-"
"56","서울특별시 구로구 개봉동","179-11","0179","0011","에드가개봉","35.3671","202605","21","48,300","-","19","법인","법인","2025","경인로42길 34","-","직거래","-","-"
"57","서울특별시 구로구 개봉동","179-11","0179","0011","에드가개봉","35.3671","202605","21","48,300","-","19","법인","법인","2025","경인로42길 34","-","직거래","-","-"
"58","서울특별시 구로구 개봉동","179-11","0179","0011","에드가개봉","16.4845","202605","21","23,800","-","16","법인","법인","2025","경인로42길 34","-","직거래","-","-"
"59","서울특별시 구로구 개봉동","179-11","0179","0011","에드가개봉","18.1405","202605","21","26,100","-","16","법인","법인","2025","경인로42길 34","-","직거래","-","-"
"60","서울특별시 구로구 개봉동","179-11","0179","0011","에드가개봉","18.1405","202605","21","26,100","-","16","법인","법인","2025","경인로42길 34","-","직거래","-","-"
"61","서울특별시 구로구 개봉동","179-11","0179","0011","에드가개봉","18.1405","202605","21","26,100","-","16","법인","법인","2025","경인로42길 34","-","직거래","-","-"
"62","서울특별시 구로구 개봉동","179-11","0179","0011","에드가개봉","35.3671","202605","21","48,300","-","17","법인","법인","2025","경인로42길 34","-","직거래","-","-"
"63","서울특별시 구로구 개봉동","179-11","0179","0011","에드가개봉","35.3671","202605","21","48,300","-","17","법인","법인","2025","경인로42길 34","-","직거래","-","-"
"64","서울특별시 구로구 개봉동","179-11","0179","0011","에드가개봉","36.4577","202605","21","49,800","-","17","법인","법인","2025","경인로42길 34","-","직거래","-","-"
"65","서울특별시 구로구 개봉동","179-11","0179","0011","에드가개봉","16.4845","202605","21","23,800","-","17","법인","법인","2025","경인로42길 34","-","직거래","-","-"
"66","서울특별시 구로구 개봉동","179-11","0179","0011","에드가개봉","35.3671","202605","21","48,300","-","18","법인","법인","2025","경인로42길 34","-","직거래","-","-"
"67","서울특별시 구로구 개봉동","179-11","0179","0011","에드가개봉","35.3671","202605","21","48,300","-","18","법인","법인","2025","경인로42길 34","-","직거래","-","-"
"68","서울특별시 구로구 개봉동","179-11","0179","0011","에드가개봉","16.4845","202605","21","23,800","-","18","법인","법인","2025","경인로42길 34","-","직거래","-","-"
"69","서울특별시 구로구 개봉동","179-11","0179","0011","에드가개봉","18.1405","202605","21","26,100","-","18","법인","법인","2025","경인로42길 34","-","직거래","-","-"
"70","서울특별시 구로구 개봉동","179-11","0179","0011","에드가개봉","18.1405","202605","21","26,100","-","18","법인","법인","2025","경인로42길 34","-","직거래","-","-"
"71","서울특별시 구로구 개봉동","179-11","0179","0011","에드가개봉","16.4845","202605","21","23,800","-","11","법인","법인","2025","경인로42길 34","-","직거래","-","-"
"72","서울특별시 구로구 개봉동","179-11","0179","0011","에드가개봉","16.4845","202605","21","23,300","-","10","법인","법인","2025","경인로42길 34","-","직거래","-","-"
"73","서울특별시 구로구 개봉동","179-11","0179","0011","에드가개봉","16.4845","202605","21","23,300","-","10","법인","법인","2025","경인로42길 34","-","직거래","-","-"
"74","서울특별시 구로구 개봉동","179-11","0179","0011","에드가개봉","16.4845","202605","21","23,300","-","10","법인","법인","2025","경인로42길 34","-","직거래","-","-"
"75","서울특별시 구로구 개봉동","179-11","0179","0011","에드가개봉","16.4845","202605","21","23,300","-","10","법인","법인","2025","경인로42길 34","-","직거래","-","-"
"76","서울특별시 구로구 개봉동","179-11","0179","0011","에드가개봉","16.4845","202605","21","23,300","-","10","법인","법인","2025","경인로42길 34","-","직거래","-","-"
"77","서울특별시 구로구 개봉동","179-11","0179","0011","에드가개봉","16.4845","202605","21","23,300","-","9","법인","법인","2025","경인로42길 34","-","직거래","-","-"
"78","서울특별시 구로구 개봉동","179-11","0179","0011","에드가개봉","16.4845","202605","21","23,300","-","9","법인","법인","2025","경인로42길 34","-","직거래","-","-"
"79","서울특별시 구로구 개봉동","179-11","0179","0011","에드가개봉","16.4845","202605","21","23,300","-","7","법인","법인","2025","경인로42길 34","-","직거래","-","-"
"80","서울특별시 구로구 개봉동","179-11","0179","0011","에드가개봉","16.4845","202605","21","23,300","-","7","법인","법인","2025","경인로42길 34","-","직거래","-","-"
"81","서울특별시 구로구 개봉동","179-11","0179","0011","에드가개봉","16.4845","202605","21","23,300","-","6","법인","법인","2025","경인로42길 34","-","직거래","-","-"
"82","서울특별시 구로구 개봉동","179-11","0179","0011","에드가개봉","16.4845","202605","21","23,300","-","6","법인","법인","2025","경인로42길 34","-","직거래","-","-"
"83","서울특별시 구로구 개봉동","179-11","0179","0011","에드가개봉","16.4845","202605","21","23,300","-","6","법인","법인","2025","경인로42길 34","-","직거래","-","-"
"84","서울특별시 구로구 개봉동","179-11","0179","0011","에드가개봉","16.4845","202605","21","22,900","-","5","법인","법인","2025","경인로42길 34","-","직거래","-","-"
"85","서울특별시 구로구 개봉동","179-11","0179","0011","에드가개봉","16.4845","202605","21","22,900","-","5","법인","법인","2025","경인로42길 34","-","직거래","-","-"
"86","서울특별시 구로구 개봉동","179-11","0179","0011","에드가개봉","16.4845","202605","21","22,900","-","5","법인","법인","2025","경인로42길 34","-","직거래","-","-"
"87","서울특별시 구로구 개봉동","179-11","0179","0011","에드가개봉","16.4845","202605","21","22,900","-","4","법인","법인","2025","경인로42길 34","-","직거래","-","-"
"88","서울특별시 구로구 개봉동","179-11","0179","0011","에드가개봉","16.4845","202605","21","22,900","-","4","법인","법인","2025","경인로42길 34","-","직거래","-","-"
"89","서울특별시 구로구 개봉동","179-11","0179","0011","에드가개봉","16.4845","202605","21","22,900","-","4","법인","법인","2025","경인로42길 34","-","직거래","-","-"
